🔍 Scanning for 'lines' format chapters...
📊 Need translate: 12058, Done: 355, Failed: 5
  ⏳ 1816 done, 0 failed, 10242 left (~14.4/s, ETA 0.2h)
  ⏳ 1845 done, 0 failed, 10213 left (~17.4/s, ETA 0.2h)
  ⏳ 1870 done, 0 failed, 10188 left (~15.0/s, ETA 0.2h)
  ⏳ 1899 done, 0 failed, 10159 left (~17.4/s, ETA 0.2h)
  ⏳ 1922 done, 0 failed, 10136 left (~13.8/s, ETA 0.2h)
  ⏳ 1951 done, 0 failed, 10107 left (~17.4/s, ETA 0.2h)
  ⏳ 1975 done, 0 failed, 10083 left (~14.4/s, ETA 0.2h)
  ⏳ 1998 done, 0 failed, 10060 left (~13.8/s, ETA 0.2h)
  ⏳ 2026 done, 0 failed, 10032 left (~16.8/s, ETA 0.2h)
  ⏳ 2050 done, 0 failed, 10008 left (~14.4/s, ETA 0.2h)
  ⏳ 2065 done, 0 failed, 9993 left (~9.0/s, ETA 0.3h)
  ⏳ 2097 done, 0 failed, 9961 left (~19.2/s, ETA 0.1h)
  ⏳ 2128 done, 0 failed, 9930 left (~18.6/s, ETA 0.1h)
  ⏳ 2146 done, 0 failed, 9912 left (~10.8/s, ETA 0.3h)
  ⏳ 2169 done, 0 failed, 9889 left (~13.8/s, ETA 0.2h)
  ⏳ 2190 done, 0 failed, 9868 left (~12.6/s, ETA 0.2h)
  ⏳ 2213 done, 0 failed, 9845 left (~13.8/s, ETA 0.2h)
  ⏳ 2242 done, 0 failed, 9816 left (~17.4/s, ETA 0.2h)
  ⏳ 2267 done, 0 failed, 9791 left (~15.0/s, ETA 0.2h)
  ⏳ 2290 done, 0 failed, 9768 left (~13.8/s, ETA 0.2h)
  ⏳ 2318 done, 0 failed, 9740 left (~16.8/s, ETA 0.2h)
  ⏳ 2330 done, 0 failed, 9728 left (~7.2/s, ETA 0.4h)
  ⏳ 2359 done, 0 failed, 9699 left (~17.4/s, ETA 0.2h)
  ⏳ 2388 done, 0 failed, 9670 left (~17.4/s, ETA 0.2h)
  ⏳ 2414 done, 0 failed, 9644 left (~15.6/s, ETA 0.2h)
  ⏳ 2439 done, 0 failed, 9619 left (~15.0/s, ETA 0.2h)
  ⏳ 2467 done, 0 failed, 9591 left (~16.8/s, ETA 0.2h)
  ⏳ 2491 done, 0 failed, 9567 left (~14.4/s, ETA 0.2h)
  ⏳ 2516 done, 0 failed, 9542 left (~15.0/s, ETA 0.2h)
  ⏳ 2553 done, 0 failed, 9505 left (~22.2/s, ETA 0.1h)
  ⏳ 2590 done, 0 failed, 9468 left (~22.2/s, ETA 0.1h)
  ⏳ 2631 done, 0 failed, 9427 left (~24.6/s, ETA 0.1h)
  ⏳ 2649 done, 0 failed, 9409 left (~10.8/s, ETA 0.2h)
  ⏳ 2676 done, 0 failed, 9382 left (~16.2/s, ETA 0.2h)
  ⏳ 2695 done, 0 failed, 9363 left (~11.4/s, ETA 0.2h)
  ⏳ 2717 done, 0 failed, 9341 left (~13.2/s, ETA 0.2h)
  ⏳ 2735 done, 0 failed, 9323 left (~10.8/s, ETA 0.2h)
  ⏳ 2755 done, 0 failed, 9303 left (~12.0/s, ETA 0.2h)
  ⏳ 2782 done, 0 failed, 9276 left (~16.2/s, ETA 0.2h)
  ⏳ 2810 done, 0 failed, 9248 left (~16.8/s, ETA 0.2h)
  ⏳ 2839 done, 0 failed, 9219 left (~17.4/s, ETA 0.1h)
  ⏳ 2863 done, 0 failed, 9195 left (~14.4/s, ETA 0.2h)
  ⏳ 2889 done, 0 failed, 9169 left (~15.6/s, ETA 0.2h)
  ⏳ 2908 done, 0 failed, 9150 left (~11.4/s, ETA 0.2h)
  ⏳ 2925 done, 0 failed, 9133 left (~10.2/s, ETA 0.2h)
  ⏳ 2947 done, 0 failed, 9111 left (~13.2/s, ETA 0.2h)
  ⏳ 2978 done, 0 failed, 9080 left (~18.6/s, ETA 0.1h)
  ⏳ 3006 done, 0 failed, 9052 left (~16.8/s, ETA 0.1h)
  ⏳ 3023 done, 0 failed, 9035 left (~10.2/s, ETA 0.2h)
  ⏳ 3050 done, 0 failed, 9008 left (~16.2/s, ETA 0.2h)
  ⏳ 3086 done, 0 failed, 8972 left (~21.6/s, ETA 0.1h)
  ⏳ 3107 done, 0 failed, 8951 left (~12.6/s, ETA 0.2h)
  ⏳ 3132 done, 0 failed, 8926 left (~15.0/s, ETA 0.2h)
  ⏳ 3153 done, 0 failed, 8905 left (~12.6/s, ETA 0.2h)
  ⏳ 3179 done, 0 failed, 8879 left (~15.6/s, ETA 0.2h)
  ⏳ 3208 done, 0 failed, 8850 left (~17.4/s, ETA 0.1h)
  ⏳ 3240 done, 0 failed, 8818 left (~19.2/s, ETA 0.1h)
  ⏳ 3273 done, 0 failed, 8785 left (~19.8/s, ETA 0.1h)
  ⏳ 3288 done, 0 failed, 8770 left (~9.0/s, ETA 0.3h)
  ⏳ 3303 done, 0 failed, 8755 left (~9.0/s, ETA 0.3h)
  ⏳ 3319 done, 0 failed, 8739 left (~9.6/s, ETA 0.3h)
  ⏳ 3343 done, 0 failed, 8715 left (~14.3/s, ETA 0.2h)
  ⏳ 3362 done, 0 failed, 8696 left (~11.4/s, ETA 0.2h)
  ⏳ 3375 done, 0 failed, 8683 left (~7.8/s, ETA 0.3h)
  ⏳ 3389 done, 0 failed, 8669 left (~8.4/s, ETA 0.3h)
  ⏳ 3405 done, 0 failed, 8653 left (~9.6/s, ETA 0.3h)
  ⏳ 3432 done, 0 failed, 8626 left (~16.2/s, ETA 0.1h)
  ⏳ 3454 done, 0 failed, 8604 left (~13.2/s, ETA 0.2h)
  ⏳ 3474 done, 0 failed, 8584 left (~12.0/s, ETA 0.2h)
  ⏳ 3500 done, 0 failed, 8558 left (~15.6/s, ETA 0.2h)
  ⏳ 3532 done, 0 failed, 8526 left (~19.2/s, ETA 0.1h)
  ⏳ 3561 done, 0 failed, 8497 left (~17.4/s, ETA 0.1h)
  ⏳ 3588 done, 0 failed, 8470 left (~16.2/s, ETA 0.1h)
  ⏳ 3620 done, 0 failed, 8438 left (~19.2/s, ETA 0.1h)
  ⏳ 3661 done, 0 failed, 8397 left (~24.6/s, ETA 0.1h)
  ⏳ 3677 done, 0 failed, 8381 left (~9.6/s, ETA 0.2h)
  ⏳ 3701 done, 0 failed, 8357 left (~14.4/s, ETA 0.2h)
  ⏳ 3725 done, 0 failed, 8333 left (~14.4/s, ETA 0.2h)
  ⏳ 3752 done, 0 failed, 8306 left (~16.2/s, ETA 0.1h)
  ⏳ 3781 done, 0 failed, 8277 left (~17.4/s, ETA 0.1h)
  ⏳ 3798 done, 0 failed, 8260 left (~10.2/s, ETA 0.2h)
  ⏳ 3822 done, 0 failed, 8236 left (~14.4/s, ETA 0.2h)
  ⏳ 3849 done, 0 failed, 8209 left (~16.2/s, ETA 0.1h)
  ⏳ 3884 done, 0 failed, 8174 left (~21.0/s, ETA 0.1h)
  ⏳ 3916 done, 0 failed, 8142 left (~19.2/s, ETA 0.1h)
  ⏳ 3942 done, 0 failed, 8116 left (~15.6/s, ETA 0.1h)
  ⏳ 3960 done, 0 failed, 8098 left (~10.8/s, ETA 0.2h)
  ⏳ 3976 done, 0 failed, 8082 left (~9.6/s, ETA 0.2h)
  ⏳ 3993 done, 0 failed, 8065 left (~10.2/s, ETA 0.2h)
  ⏳ 4018 done, 0 failed, 8040 left (~15.0/s, ETA 0.1h)
  ⏳ 4052 done, 0 failed, 8006 left (~20.4/s, ETA 0.1h)
  ⏳ 4068 done, 0 failed, 7990 left (~9.6/s, ETA 0.2h)
  ⏳ 4092 done, 0 failed, 7966 left (~14.4/s, ETA 0.2h)
  ⏳ 4102 done, 0 failed, 7956 left (~6.0/s, ETA 0.4h)
  ⏳ 4124 done, 0 failed, 7934 left (~13.2/s, ETA 0.2h)
  ⏳ 4154 done, 0 failed, 7904 left (~18.0/s, ETA 0.1h)
  ⏳ 4175 done, 0 failed, 7883 left (~12.6/s, ETA 0.2h)
  ⏳ 4206 done, 0 failed, 7852 left (~18.6/s, ETA 0.1h)
  ⏳ 4226 done, 0 failed, 7832 left (~12.0/s, ETA 0.2h)
  ⏳ 4243 done, 0 failed, 7815 left (~10.2/s, ETA 0.2h)
  ⏳ 4257 done, 0 failed, 7801 left (~8.4/s, ETA 0.3h)
  ⏳ 4278 done, 0 failed, 7780 left (~12.6/s, ETA 0.2h)
  ⏳ 4295 done, 0 failed, 7763 left (~10.2/s, ETA 0.2h)
  ⏳ 4320 done, 0 failed, 7738 left (~15.0/s, ETA 0.1h)
  ⏳ 4348 done, 0 failed, 7710 left (~16.8/s, ETA 0.1h)
  ⏳ 4371 done, 0 failed, 7687 left (~13.8/s, ETA 0.2h)
  ⏳ 4400 done, 0 failed, 7658 left (~17.4/s, ETA 0.1h)
  ⏳ 4434 done, 0 failed, 7624 left (~20.4/s, ETA 0.1h)
  ⏳ 4468 done, 0 failed, 7590 left (~20.4/s, ETA 0.1h)
  ⏳ 4494 done, 0 failed, 7564 left (~15.6/s, ETA 0.1h)
  ⏳ 4527 done, 0 failed, 7531 left (~19.8/s, ETA 0.1h)
  ⏳ 4549 done, 0 failed, 7509 left (~13.2/s, ETA 0.2h)
  ⏳ 4580 done, 0 failed, 7478 left (~18.6/s, ETA 0.1h)
  ⏳ 4616 done, 0 failed, 7442 left (~21.6/s, ETA 0.1h)
  ⏳ 4636 done, 0 failed, 7422 left (~12.0/s, ETA 0.2h)
  ⏳ 4668 done, 0 failed, 7390 left (~19.2/s, ETA 0.1h)
  ⏳ 4687 done, 0 failed, 7371 left (~11.4/s, ETA 0.2h)
  ⏳ 4715 done, 0 failed, 7343 left (~16.8/s, ETA 0.1h)
  ⏳ 4743 done, 0 failed, 7315 left (~16.8/s, ETA 0.1h)
  ⏳ 4761 done, 0 failed, 7297 left (~10.8/s, ETA 0.2h)
  ⏳ 4779 done, 0 failed, 7279 left (~10.8/s, ETA 0.2h)
  ⏳ 4790 done, 0 failed, 7268 left (~6.6/s, ETA 0.3h)
  ⏳ 4815 done, 0 failed, 7243 left (~15.0/s, ETA 0.1h)
  ⏳ 4832 done, 0 failed, 7226 left (~10.2/s, ETA 0.2h)
  ⏳ 4853 done, 0 failed, 7205 left (~12.6/s, ETA 0.2h)
  ⏳ 4878 done, 0 failed, 7180 left (~15.0/s, ETA 0.1h)
  ⏳ 4900 done, 0 failed, 7158 left (~13.2/s, ETA 0.2h)
  ⏳ 4937 done, 0 failed, 7121 left (~22.2/s, ETA 0.1h)
  ⏳ 4958 done, 0 failed, 7100 left (~12.6/s, ETA 0.2h)
  ⏳ 4985 done, 0 failed, 7073 left (~16.2/s, ETA 0.1h)
  ⏳ 5013 done, 0 failed, 7045 left (~16.8/s, ETA 0.1h)
  ⏳ 5047 done, 0 failed, 7011 left (~20.3/s, ETA 0.1h)
  ⏳ 5070 done, 0 failed, 6988 left (~13.8/s, ETA 0.1h)
  ⏳ 5096 done, 0 failed, 6962 left (~15.6/s, ETA 0.1h)
  ⏳ 5116 done, 0 failed, 6942 left (~12.0/s, ETA 0.2h)
  ⏳ 5153 done, 0 failed, 6905 left (~22.2/s, ETA 0.1h)
  ⏳ 5179 done, 0 failed, 6879 left (~15.6/s, ETA 0.1h)
  ⏳ 5204 done, 0 failed, 6854 left (~15.0/s, ETA 0.1h)
  ⏳ 5234 done, 0 failed, 6824 left (~18.0/s, ETA 0.1h)
  ⏳ 5265 done, 0 failed, 6793 left (~18.6/s, ETA 0.1h)
  ⏳ 5289 done, 0 failed, 6769 left (~14.4/s, ETA 0.1h)
  ⏳ 5298 done, 0 failed, 6760 left (~5.4/s, ETA 0.3h)
  ⏳ 5311 done, 0 failed, 6747 left (~7.7/s, ETA 0.2h)
  ⏳ 5333 done, 0 failed, 6725 left (~13.1/s, ETA 0.1h)
  ⏳ 5362 done, 0 failed, 6696 left (~17.4/s, ETA 0.1h)
  ⏳ 5378 done, 0 failed, 6680 left (~9.6/s, ETA 0.2h)
  ⏳ 5400 done, 0 failed, 6658 left (~13.2/s, ETA 0.1h)
  ⏳ 5418 done, 0 failed, 6640 left (~10.8/s, ETA 0.2h)
  ⏳ 5427 done, 0 failed, 6631 left (~5.4/s, ETA 0.3h)
  ⏳ 5438 done, 0 failed, 6620 left (~6.6/s, ETA 0.3h)
  ⏳ 5448 done, 0 failed, 6610 left (~6.0/s, ETA 0.3h)
  ⏳ 5468 done, 0 failed, 6590 left (~12.0/s, ETA 0.2h)
  ⏳ 5494 done, 0 failed, 6564 left (~15.6/s, ETA 0.1h)
  ⏳ 5526 done, 0 failed, 6532 left (~19.2/s, ETA 0.1h)
  ⏳ 5563 done, 0 failed, 6495 left (~22.2/s, ETA 0.1h)
  ⏳ 5580 done, 0 failed, 6478 left (~10.2/s, ETA 0.2h)
  ⏳ 5611 done, 0 failed, 6447 left (~18.6/s, ETA 0.1h)
  ⏳ 5643 done, 0 failed, 6415 left (~19.2/s, ETA 0.1h)
  ⏳ 5671 done, 0 failed, 6387 left (~16.8/s, ETA 0.1h)
  ⏳ 5689 done, 0 failed, 6369 left (~10.8/s, ETA 0.2h)
  ⏳ 5702 done, 0 failed, 6356 left (~7.8/s, ETA 0.2h)
  ⏳ 5726 done, 0 failed, 6332 left (~14.4/s, ETA 0.1h)
  ⏳ 5745 done, 0 failed, 6313 left (~11.4/s, ETA 0.2h)
  ⏳ 5756 done, 0 failed, 6302 left (~6.6/s, ETA 0.3h)
  ⏳ 5778 done, 0 failed, 6280 left (~13.2/s, ETA 0.1h)
  ⏳ 5796 done, 0 failed, 6262 left (~10.8/s, ETA 0.2h)
